@id,CityName,StreetName,leisure,name,,,
28191429,DKI Jakarta,Jalan Birah II,pitch,Lapangan Blok S,,,
28934648,DKI Jakarta,Jalan Biak,pitch,Lapangan VIJ,,,
28969780,DKI Jakarta,Jalan Ubi,pitch,Lapangan UMS,,,
29080934,DKI Jakarta,Jalan Tabanas,pitch,Lapangan Tabanas,,,
29483785,DKI Jakarta,Jalan Pemuda,stadium,Stadion Atletik dan Sepak Bola Dinas Kemenpora DKI Jakarta,,,
29814690,DKI Jakarta,Jalan Cempaka Putih Barat,stadium,Cempaka Putih Sport Center Arcici,,,
31505739,DKI Jakarta,Jalan Manggarai Selatan VII,pitch,Lapangan DKA,,,
99642918,DKI Jakarta,Jl Danau Sunter,pitch,Stadion Sepakbola DISORDA,,,
99824303,DKI Jakarta,Jalan Basoka,pitch,Lapangan Bola Kodam,,,
100383366,DKI Jakarta,Jalan Lapangan Pors Raya,pitch,Lapangan Pors Serdang,,,
120161354,DKI Jakarta,Jalan Inspeksi Saluran No. 3A Kalimalang Jakarta Timur,pitch,Goedang Futsal,,,
120383129,DKI Jakarta,Jalan Raya Kelapa Dua Wetan Blok Kenari No 51 RT 008 RW 005,pitch,Lapangan Sepakbola Kelapa Dua Wetan,,,
133440143,DKI Jakarta,Jalan Pengadegan Utara,pitch,Lapangan Sepakbola kompelks POLRI Pengadegan,,,
153754593,DKI Jakarta,Jalan Mandor Iren,pitch,Lapangan Bola Don Bosco,,,
155242955,DKI Jakarta,Jalan Dr. Wahidin II,pitch,Lapangan Futsal Topografi,,,
155259295,DKI Jakarta,Jalan Bhayangkara,pitch,Lapangan Bola Komplek POLRI,,,
155787936,DKI Jakarta,Jalan Kalianyar IV,pitch,Lapangan Persima,,,
155945931,Jakarta Timur,Jalan Monumen Pancasila Sakti,pitch,Lapangan Sepak Bola Lubang Buaya,,,
155950398,DKI Jakarta,RT.003 RW.04 Kelurahan Makasar,pitch,Lapangan,,,
155957452,DKI Jakarta,jalan Raya Robusta,pitch,HS Agung Futsal,,,
155965203,DKI Jakarta,Jalan SMPN 160,pitch,Lapangan Sepakbola Ceger,,,
156007234,DKI Jakarta,Jalan Gongseng Raya,stadium,Stadion Gongseng Cijantung,,,
156270929,DKI Jakarta,Jalan Muara Angke Raya,pitch,Lapangan Ingub Muara Angke,,,
156915106,DKI Jakarta,Jalan Rawa Pandan,pitch,Lapangan Futsal Rawa Pandan,,,
156926188,DKI Jakarta,Jalan Komplek Rusun Tambora,pitch,Lapangan Komplek Rusun,,,
157353689,DKI Jakarta,Jalan Sirsak,pitch,Lapangan Sepak Bola Jagakarsa,,,
157361057,Jakarta Selatan,jl. pedurenan raya,pitch,Futsal Koe,,,
157361124,DKI Jakarta,Jalan Rawajati Timur III,pitch,Lapangan Bola,,,
157362674,DKI Jakarta,Jalan Tebet Mas Indah I,pitch,Lapangan Bola Tebet Mas Indah,,,
157364025,DKI Jakarta,Jalan Kelurahan Kebagusan,pitch,Lapangan Sepak Bola Kebagusan,,,
158850307,DKI Jakarta,Jalan Merbabu,pitch,Pusat Kegiatan Olahraga Warga Bukit Permai,,,
159945658,DKI Jakarta,Jalan Melati,pitch,VJ Futsal,,,
240592640,DKI Jakarta,Jalan Epicentrum Utama Raya,stadium,Stadion Kuningan,,,
391870076,DKI Jakarta,Jalan Gaga Utama RT/RW 006/03,pitch,MU Futsal,,,
446763985,DKI Jakarta,Jalan Kenanga,pitch,Champion Futsal,,,
475138532,DKI Jakarta,Jalan DI Panjaitan,pitch,Leoni Futsal,,,
479404684,DKI Jakarta,Jalan Pendidikan,pitch,GMC Futsal,,,
481949205,DKI Jakarta,Jalan Tebet Timur Dalam VII F,pitch,Lapangan Basket,,,
